gen_id,gen_adi,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
ENSMUSG00000000001.5,Gnai3,1419,662,2800,2182,2872,2462
ENSMUSG00000000003.16,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028.16,Cdc45,1654,1099,2770,1155,1891,1299
ENSMUSG00000000031.19,H19,26461,23546,74207,19488,32414,45889
ENSMUSG00000000037.18,Scml2,37,15,82,10,20,10
ENSMUSG00000000049.12,Apoh,1636,1366,5511,875,1327,1409
ENSMUSG00000000056.8,Narf,5201,2730,11840,3843,7017,3821
ENSMUSG00000000058.7,Cav2,12,18,32,20,23,47
ENSMUSG00000000078.8,Klf6,270,197,721,684,921,662
ENSMUSG00000000085.17,Scmh1,532,417,1623,1130,1805,1037
ENSMUSG00000000088.8,Cox5a,1702,2162,2865,1638,2001,2220
ENSMUSG00000000093.7,Tbx2,10,28,83,28,61,78
ENSMUSG00000000094.13,Tbx4,0,0,1,2,3,2
ENSMUSG00000000103.13,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120.7,Ngfr,14,18,125,30,60,37
ENSMUSG00000000125.6,Wnt3,0,0,2,0,0,0
ENSMUSG00000000126.12,Wnt9a,3,2,3,7,6,1
ENSMUSG00000000127.16,Fer,172,160,471,148,241,247
ENSMUSG00000000131.16,Xpo6,779,676,2237,1156,1878,1074
ENSMUSG00000000134.18,Tfe3,321,227,895,590,889,583
ENSMUSG00000000142.16,Axin2,10,9,57,12,18,12
ENSMUSG00000000148.18,Brat1,144,94,425,250,409,212
ENSMUSG00000000149.11,Gna12,813,658,2390,874,1361,963
ENSMUSG00000000154.17,Slc22a18,48,50,265,66,70,67
ENSMUSG00000000157.17,Itgb2l,6,3,34,39,23,11
ENSMUSG00000000159.17,Igsf5,12,10,32,14,21,19
ENSMUSG00000000167.15,Pih1d2,9,15,39,22,32,24
ENSMUSG00000000168.11,Dlat,600,396,1537,579,986,766
ENSMUSG00000000171.6,Sdhd,3327,2927,4704,2225,3112,3187
ENSMUSG00000000182.10,Fgf23,0,0,0,0,0,6
ENSMUSG00000000183.7,Fgf6,0,0,0,0,2,0
ENSMUSG00000000184.13,Ccnd2,337,291,1409,448,731,664
ENSMUSG00000000194.14,Gpr107,360,370,1247,595,1021,649
ENSMUSG00000000197.9,Nalcn,0,0,0,0,1,0
ENSMUSG00000000202.10,Btbd17,0,1,4,0,0,1
ENSMUSG00000000204.17,Slfn4,19,7,55,75,37,31
ENSMUSG00000000214.12,Th,0,1,0,0,3,0
ENSMUSG00000000215.12,Ins2,0,0,1,0,0,0
ENSMUSG00000000216.9,Scnn1g,0,0,0,0,0,0
ENSMUSG00000000223.14,Drp2,17,20,86,25,63,15
ENSMUSG00000000244.18,Tspan32,2000,1679,3912,2633,3372,2658
ENSMUSG00000000247.12,Lhx2,21,39,141,47,63,49
ENSMUSG00000000248.17,Clec2g,0,0,2,0,0,0
ENSMUSG00000000253.14,Gmpr,5664,4974,9773,3545,5989,3886
ENSMUSG00000000263.16,Glra1,0,0,0,0,0,0
ENSMUSG00000000266.12,Mid2,6,12,28,11,19,44
ENSMUSG00000000275.17,Trim25,898,894,2591,1426,1872,1700
ENSMUSG00000000276.12,Dgke,36,19,83,91,98,48
ENSMUSG00000000278.11,Scpep1,308,215,1615,315,560,393
ENSMUSG00000000282.13,Mnt,161,136,832,285,390,185
ENSMUSG00000000290.14,Itgb2,179,137,646,564,670,513
ENSMUSG00000000295.14,Hddc2,250,307,332,232,352,321
ENSMUSG00000000296.9,Tpd52l1,9,3,12,9,31,10
ENSMUSG00000000301.17,Pemt,73,87,118,66,60,61
ENSMUSG00000000303.14,Cdh1,259,210,1842,454,595,369
ENSMUSG00000000305.13,Cdh4,4,10,40,11,10,8
ENSMUSG00000000308.15,Ckmt1,0,1,1,0,0,2
ENSMUSG00000000317.12,Bcl6b,47,56,154,65,72,116
ENSMUSG00000000318.17,Clec10a,3,5,14,7,8,7
ENSMUSG00000000320.11,Alox12,420,639,1447,984,1195,1997
ENSMUSG00000000326.14,Comt,2427,2584,4134,1677,2354,1687
ENSMUSG00000000339.15,Rtca,536,411,960,527,803,580
ENSMUSG00000000340.11,Dbt,185,95,422,155,226,257
ENSMUSG00000000346.10,Dazap2,2929,2469,5942,2514,3363,2722
ENSMUSG00000000355.14,Mcts1,494,606,581,470,608,593
ENSMUSG00000000359.4,Rem1,6,16,22,17,25,24
ENSMUSG00000000365.10,Rnf17,18,11,33,17,17,17
ENSMUSG00000000374.9,Trappc10,1111,538,3127,918,1601,634
ENSMUSG00000000378.16,Ccm2,646,491,1768,420,642,444
ENSMUSG00000000381.11,Wap,0,0,0,0,0,0
ENSMUSG00000000384.16,Tbrg4,1158,1146,3089,1069,1826,1115
ENSMUSG00000000385.9,Tmprss2,20,7,85,35,24,24
ENSMUSG00000000386.19,Mx1,5,6,16,23,26,19
ENSMUSG00000000392.18,Fap,2,3,0,3,16,6
ENSMUSG00000000394.16,Gcg,1,0,0,0,1,0
ENSMUSG00000000399.11,Ndufa9,2562,2337,4959,2003,2678,2622
ENSMUSG00000000402.3,Egfl6,2,1,21,3,14,5
ENSMUSG00000000409.15,Lck,304,214,649,81,115,110
ENSMUSG00000000411.8,Tssk3,4,0,7,1,0,0
ENSMUSG00000000416.17,Cttnbp2,14,11,37,7,13,13
ENSMUSG00000000420.16,Galnt1,2956,2061,6909,1634,2454,1864
ENSMUSG00000000435.2,Myf5,0,0,0,0,0,0
ENSMUSG00000000439.10,Mkrn2,416,343,926,447,798,518
ENSMUSG00000000440.13,Pparg,25,19,44,24,16,30
ENSMUSG00000000441.18,Raf1,1116,751,2717,1286,1872,1172
ENSMUSG00000000486.14,Septin1,423,268,1138,279,375,305
ENSMUSG00000000489.8,Pdgfb,44,93,144,150,143,229
ENSMUSG00000000530.17,Acvrl1,20,37,90,36,49,72
ENSMUSG00000000531.6,Tamalin,11,20,61,34,24,34
ENSMUSG00000000532.12,Acvr1b,76,36,381,241,293,153
ENSMUSG00000000538.19,Tom1l2,159,132,522,372,507,285
ENSMUSG00000000544.15,Gpa33,0,0,2,0,0,0
ENSMUSG00000000552.11,Zfp385a,167,167,830,392,615,461
ENSMUSG00000000555.9,Itga5,219,222,1184,455,703,427
ENSMUSG00000000560.10,Gabra2,2,6,28,3,6,3
ENSMUSG00000000561.15,Wdr77,876,701,1620,979,1365,1014
ENSMUSG00000000562.6,Adora3,8,7,31,19,31,7
ENSMUSG00000000563.18,Atp5pb,7597,7604,12078,7632,11200,10423
ENSMUSG00000000567.6,Sox9,6,5,26,7,11,7
ENSMUSG00000000568.16,Hnrnpd,3496,2564,16946,3609,6634,3523
ENSMUSG00000000579.15,Dynlt1c,141,72,346,240,276,197
ENSMUSG00000000581.9,C1d,635,507,1115,614,817,819
ENSMUSG00000000594.8,Gm2a,225,233,659,440,504,594
ENSMUSG00000000600.16,Krit1,493,244,1120,575,790,520
ENSMUSG00000000605.10,Clcn4,387,289,1083,482,619,505
ENSMUSG00000000606.20,Vmn2r88,0,2,5,8,6,7
ENSMUSG00000000617.15,Grm6,2,0,4,2,1,2
ENSMUSG00000000627.16,Sema4f,0,0,5,2,2,1
ENSMUSG00000000628.11,Hk2,170,133,484,386,499,468
ENSMUSG00000000631.21,Myo18a,1308,972,6542,1182,2547,1376
ENSMUSG00000000632.14,Sez6,0,0,0,0,1,1
ENSMUSG00000000673.10,Haao,149,137,270,80,128,109
ENSMUSG00000000682.8,Cd52,62,128,195,177,141,192
ENSMUSG00000000686.12,Abhd15,18,6,57,10,31,16
ENSMUSG00000000690.6,Hoxb6,0,1,7,1,2,0
ENSMUSG00000000693.11,Loxl3,176,287,246,145,168,154
ENSMUSG00000000701.9,Tcl1b5,0,0,0,0,0,0
ENSMUSG00000000706.17,Btn1a1,133,95,540,2565,4060,1702
ENSMUSG00000000708.15,Kat2b,442,304,749,252,380,298
ENSMUSG00000000711.4,Rab5b,629,319,1844,984,1421,956
ENSMUSG00000000724.11,Cryba1,1,0,1,0,0,0
ENSMUSG00000000730.14,Dnmt3l,0,1,3,0,0,1
ENSMUSG00000000731.16,Aire,1,0,0,5,5,3
ENSMUSG00000000732.10,Icosl,29,39,160,52,73,40
ENSMUSG00000000738.19,Spg7,716,574,1951,806,1344,834
ENSMUSG00000000739.15,Sult5a1,29,62,49,29,28,54
ENSMUSG00000000740.13,Rpl13,21045,22184,45023,12054,18716,20259
ENSMUSG00000000743.10,Chmp1a,1151,798,2490,1123,1692,1098
ENSMUSG00000000751.14,Rpa1,4306,3037,8803,2722,4620,2860
ENSMUSG00000000753.16,Serpinf1,621,702,3080,876,1254,1045
ENSMUSG00000000759.15,Tubgcp3,1137,615,3019,858,1675,713
ENSMUSG00000000766.19,Oprm1,0,0,1,1,0,0
ENSMUSG00000000776.14,Polr3d,266,194,1051,194,365,171
ENSMUSG00000000782.17,Tcf7,17,20,48,27,38,46
ENSMUSG00000000787.13,Ddx3x,4027,2478,10376,3523,5296,3729
ENSMUSG00000000791.10,Il12rb1,10,10,88,21,32,24
ENSMUSG00000000792.3,Slc5a5,3,2,3,4,6,2
ENSMUSG00000000794.10,Kcnn3,1,0,1,1,1,0
ENSMUSG00000000804.15,Usp32,2851,1760,6718,1610,2539,1625
ENSMUSG00000000805.19,Car4,2,1,8,7,4,7
ENSMUSG00000000811.15,Txnrd3,68,36,160,63,72,62
ENSMUSG00000000817.11,Fasl,1,2,0,0,0,0
ENSMUSG00000000823.17,Zfp512b,259,167,954,496,851,384
ENSMUSG00000000826.17,Dnajc5,1146,952,3112,2071,3441,1962
ENSMUSG00000000827.19,Tpd52l2,1386,996,2917,1006,1654,1258
ENSMUSG00000000838.18,Fmr1,747,463,1878,673,977,766
ENSMUSG00000000861.16,Bcl11a,1068,881,3618,284,542,386
ENSMUSG00000000869.13,Il4,5,3,3,2,4,3
ENSMUSG00000000876.12,Pxmp4,486,439,1245,633,918,688
ENSMUSG00000000881.13,Dlg3,53,41,154,94,138,139
ENSMUSG00000000884.18,Gnb1l,155,146,341,88,140,112
ENSMUSG00000000889.9,Dbh,0,0,1,0,0,0
ENSMUSG00000000901.18,Mmp11,11,19,43,19,47,22
ENSMUSG00000000902.14,Smarcb1,904,987,2001,1011,1451,984
ENSMUSG00000000903.4,Vpreb3,8,15,10,10,7,6
ENSMUSG00000000915.16,Hip1r,424,403,1887,615,922,608
ENSMUSG00000000916.16,Nsun5,481,736,1001,551,733,524
ENSMUSG00000000934.10,Top1mt,193,147,405,118,207,218
ENSMUSG00000000938.12,Hoxa10,1,0,4,1,2,3
ENSMUSG00000000942.11,Hoxa4,0,7,15,10,8,9
ENSMUSG00000000948.17,Gm38393,29,27,39,12,16,18
ENSMUSG00000000957.12,Mmp14,92,116,832,142,278,290
ENSMUSG00000000958.11,Slc7a7,88,139,358,102,126,137
ENSMUSG00000000959.8,Oxa1l,761,690,2231,800,1243,945
ENSMUSG00000000976.14,Heatr6,177,103,544,261,418,222
ENSMUSG00000000982.6,Ccl3,4,29,9,14,6,16
ENSMUSG00000000983.14,Wfdc18,0,1,0,0,0,0
ENSMUSG00000001014.7,Icam4,3270,2687,9344,288,558,340
ENSMUSG00000001016.13,Ilf2,1588,1517,3056,1263,1963,1674
ENSMUSG00000001017.17,Chtop,1929,1677,4673,1988,3017,2127
ENSMUSG00000001018.16,Snapin,179,138,407,241,331,307
ENSMUSG00000001020.9,S100a4,13,12,23,6,7,15
ENSMUSG00000001021.14,S100a3,0,0,1,0,0,0
ENSMUSG00000001023.11,S100a5,0,0,0,0,0,0
ENSMUSG00000001025.9,S100a6,30,41,56,70,43,54
ENSMUSG00000001027.8,Scn4a,2,0,3,1,3,0
ENSMUSG00000001029.16,Icam2,116,178,286,209,265,308
ENSMUSG00000001034.18,Mapk7,180,171,641,264,417,269
ENSMUSG00000001036.18,Epn2,41,38,116,54,102,90
ENSMUSG00000001039.13,B9d1,49,37,177,33,39,45
ENSMUSG00000001052.16,Sec24b,388,320,1143,511,670,553
ENSMUSG00000001053.16,N4bp3,25,36,73,39,59,81
ENSMUSG00000001054.10,Rmnd5b,392,274,852,618,1035,560
ENSMUSG00000001056.4,Nhp2,3222,3711,11427,1908,3072,2880
ENSMUSG00000001062.19,Vps9d1,119,99,421,242,352,181
ENSMUSG00000001065.16,Zfp276,223,126,658,288,468,201
ENSMUSG00000001076.8,C1ql4,1,0,1,1,1,0
ENSMUSG00000001082.13,Mfsd10,471,403,1997,518,749,460
ENSMUSG00000001089.15,Luzp1,226,153,550,136,191,250
ENSMUSG00000001095.6,Slc13a2,1,1,1,0,0,0
ENSMUSG00000001098.16,Kctd10,421,289,1171,611,909,738
ENSMUSG00000001100.11,Poldip2,993,853,2678,822,1456,1008
ENSMUSG00000001103.8,Sebox,3,0,1,0,2,1
ENSMUSG00000001105.16,Ift20,793,959,1689,868,1300,1207
ENSMUSG00000001119.8,Col6a1,32,62,455,303,528,223
ENSMUSG00000001120.16,Pcbp3,54,43,202,111,133,111
ENSMUSG00000001123.16,Lgals9,664,499,1187,721,776,982
ENSMUSG00000001127.13,Araf,627,529,2218,1198,1642,1022
ENSMUSG00000001128.8,Cfp,469,539,1138,275,362,312
ENSMUSG00000001131.12,Timp1,4,17,35,18,22,27
ENSMUSG00000001134.10,Uxt,449,550,680,383,453,478
ENSMUSG00000001138.14,Cnnm3,218,141,746,374,521,280
ENSMUSG00000001143.14,Lman2l,297,345,782,563,675,548
ENSMUSG00000001150.8,Mcm3ap,601,456,1876,939,1658,788
ENSMUSG00000001151.11,Pcnt,611,375,2622,768,1668,704
ENSMUSG00000001155.14,Ftcd,228,159,733,242,345,215
ENSMUSG00000001156.10,Mxd1,1806,1260,4341,1375,2091,1203
ENSMUSG00000001157.14,Gmcl1,301,273,638,377,532,360
ENSMUSG00000001158.14,Snrnp27,624,743,1116,526,728,723
ENSMUSG00000001166.18,Oas1c,9,5,11,17,15,14
ENSMUSG00000001168.17,Oas1h,0,0,0,0,1,1
ENSMUSG00000001173.16,Ocrl,337,742,527,437,487,524
ENSMUSG00000001175.17,Calm1,6054,4790,10910,4776,7435,5478
ENSMUSG00000001211.16,Agpat3,294,317,1245,489,871,599
